Agency,,,ORI,Incident Date,,,Time,Location,Offense,,,Bias Motivation ,,"Victim Sex, Age and Race",,Injury Type,,"Offender Sex, Age and Race (Relationship Of Victim To Offender Description)",,Weapon Force Involved 
,,,PA0022800,2025-02-25,,,19,Air/Bus/Train Terminal,13A-Aggravated Assault,,,12-Anti-Black or African American,,1. F - 23 - P,,N-None,,"1. F - 23 - P (Relationship Unknown)
2. F - 40 - P (Victim Was Child)",,20-Knife/Cutting Instrument
,,,,2026-07-12,,,12,Air/Bus/Train Terminal,290-Destruction/Damage/Vandalism of Property,,,25-Anti-Other Religion,,1. Government,,-,,-,,-
ALLEGHENY COUNTY POLICE,,,,2026-08-13,,,11,Air/Bus/Train Terminal,290-Destruction/Damage/Vandalism of Property,,,25-Anti-Other Religion,,1. Business,,-,,-,,-
,,,,2026-08-21,,,14,Air/Bus/Train Terminal,13C-Intimidation,,,71-Anti-Transgender,,1. F - 41 - B,,-,,1. M - 58 - B (Victim Was Acquaintance),,-
,,,,2026-06-04,,,19,Jail/Prison/Penitentiary/Corrections Facility,13B-Simple Assault,,,21-Anti-Jewish,,1. M - 20 - W,,M-Apparent Minor Injury,,1. M - 32 - B (Victim Was Acquaintance),,40-Personal Weapons
,,,PA0390100,2024-07-26,,,16,Highway/Road/Alley/Street/Sidewalk,290-Destruction/Damage/Vandalism of Property,,,"11-Anti-White
52-Anti-Mental Disability",,1. M - 17 - W,,-,,1. M - 27 - B (Victim Was Otherwise Known),,-
,,,,2024-07-26,,,16,Highway/Road/Alley/Street/Sidewalk,290-Destruction/Damage/Vandalism of Property,,,"11-Anti-White
52-Anti-Mental Disability",,2. Business,,-,,-,,-
ALLENTOWN CITY,,,,2024-07-26,,,20,Highway/Road/Alley/Street/Sidewalk,13C-Intimidation,,,32-Anti-Hispanic or Latino,,1. M - 59 - W,,-,,-,,-
,,,,2024-08-11,,,23,Residence/Home,13B-Simple Assault,,,32-Anti-Hispanic or Latino,,1. M - 48 - W,,M-Apparent Minor Injury,,1. M - 22 - B (Victim Was Neighbor),,40-Personal Weapons
,,,,2024-08-11,,,23,Residence/Home,290-Destruction/Damage/Vandalism of Property,,,32-Anti-Hispanic or Latino,,1. M - 48 - W,,M-Apparent Minor Injury,,1. M - 22 - B (Victim Was Neighbor),,-
,,,,2024-08-29,,,22,Convenience Store,13B-Simple Assault,,,12-Anti-Black or African American,,2. M - 64 - B,,N-None,,1. M - 38 - W (Relationship Unknown),,90-Other
,,,,2025-03-11,,,16,Residence/Home,120-Robbery,,,71-Anti-Transgender,,1. M - 32 - B,,M-Apparent Minor Injury,,-,,40-Personal Weapons
,,,,2025-03-22,,,0,Highway/Road/Alley/Street/Sidewalk,290-Destruction/Damage/Vandalism of Property,,,33-Anti-Other Race/Ethnicity/Ancestry,,1. M - 50 - W,,-,,-,,-
,,,,2025-04-17,,,19,Residence/Home,290-Destruction/Damage/Vandalism of Property,,,11-Anti-White,,1. M - 27 - W,,-,,-,,-
,,,,2025-05-12,,,11,Highway/Road/Alley/Street/Sidewalk,13B-Simple Assault,,,12-Anti-Black or African American,,1. M - 12 - B,,N-None,,"1. F - 13 - W (Victim Was Acquaintance)
2. M - 12 - W (Victim Was Acquaintance)
3. F - 13 - W (Victim Was Acquaintance)",,40-Personal Weapons
,,,,2025-07-10,,,14,Residence/Home,13C-Intimidation,,,24-Anti-Islamic (Muslim),,2. F - 28 - B,,-,,1. F - 47 - W (Victim Was Neighbor),,-
,,,,2025-10-03,,,12,Amusement Park,13C-Intimidation,,,21-Anti-Jewish,,1. U - 25 - U,,-,,-,,-
,,,,2025-10-03,,,12,Amusement Park,13C-Intimidation,,,21-Anti-Jewish,,2. F - 22 - W,,-,,-,,-
,,,,2025-10-03,,,12,Amusement Park,13C-Intimidation,,,21-Anti-Jewish,,3. U - 20 - U,,-,,-,,-
,,,PA0070100,2024-04-09,,,8,Church/Synagogue/Temple/Mosque,13C-Intimidation,,,21-Anti-Jewish,,2. F - 66 - W,,-,,1. U - 44 - U (Relationship Unknown),,-
